premise,hypothesis,gold_label,pred_label
"Yeah, I know he had on pants, he had on a long sleeve I think the cuffs were rolled up once or twice.",I know he had black pants.,neutral,contradiction
"Cancel, and tear to pieces, that great bond Which keeps me pale!",I don't want to be pale anymore because it makes me look sickly.,neutral,contradiction
"It seems unnecessary to point out that Framework cannot have a very sophisticated list of words if it has only 37,000 in its memory, but I thought it might be interesting to see what substitutions were evoked by SUGGEST.",There was no reason to mention that Framework is not sophisticated since most people know.,neutral,contradiction
"Thank, thank you for your stories.",Thank you for your war stories.,neutral,contradiction
"So, too, feminists lobby for gender-neutral terms when appropriate.",Gender neutral terms should always be used.,neutral,contradiction
"In order to do this, laboratories must be developed and maintained with equipment that will provide first-rate, hands-on experience for our students.",Your donations help make this possible.,neutral,contradiction
"The FAA, the White House, and the Defense Department each initiated a multiagency teleconference before 9:30.","The FAA, WHite House, and Defense Department were in a teleconference together at 10:00.",neutral,contradiction
"Indeed, Washington wore a dark brown suit, entirely made in America, for his first inaugural on April 30, 1789.",Most people did not notice that Washington's suit was brown at his first inaugural in April of 1789.,neutral,contradiction
"Map 33 shows the distribution of child (most of southern England) and of bairn (north of a slightly wavy line between Boston, on the Wash to the east, and Lancaster, on the west coast).",Bairn was the pre-eminent word in the North of England.,neutral,contradiction
Bin Ladin's grievance with the United States may have started in reaction to specific U.S. policies but it quickly became far deeper.,Bin Ladin had grievances with the United States starting with U.S. foreign policy.,neutral,entailment
That is the basis of modern sewing operations in manufacturing facilities.,This does not apply to old-fashioned sewing operations.,neutral,entailment
GENI organizes teacher workshops for K-12 teachers and assists them in developing geography teaching materials for classroom use.,GENI also organizes workshops for other teaching materials. ,neutral,entailment
18 The advantage of using VMI programs stems from the retailer and manufacturer working together to determine a flow of shipments that optimizes the economics of the two parties as a system.,Many retailers work with foreign manufacturers in business.,neutral,entailment
"Because they were living in a, in an apartment basically.",They're in better housing now.,neutral,entailment
"Indeed, retailers like Wal-Mart Stores, Kmart Corporation, and Dillard's Inc. have been the driving forces behind changes in manufacturing and logistics systems in a way that was unheard of in Bond Stores' time.",Only three retailers have been the force behind changes in technology.,neutral,contradiction
"Periodically, the Islamic world has seen surges of what, for want of a better term, is often labeled fundamentalism.",These periods are most evident by periods of extreme violence.,neutral,contradiction
"Bin Ladin shares Qutb's stark view, permitting him and his followers to rationalize even unprovoked mass murder as righteous defense of an embattled faith.",There are 5 similar cases of religion-inspired mass murder.,neutral,contradiction
These are dead people that are--,Dead people are like this.,neutral,entailment
"I'm opening up like five pools and they're giving me a headache because they all turned green today, so, that's like the most fun job for me.","I opened five pools just last week and when I checked today, the water was green, which was super annoying.",neutral,contradiction
") Juvenal wrote his satire on Rome in the early years of the second century, during the reign of the Emperor Trajan.",Juvenal wrote about Emperor Trajan.,neutral,entailment
" It took me really a long time to sort what was going on in my mind out,  she said.","My friend helped me to make sense of what was going on in my mind, she said.",neutral,entailment
Wal-Mart is the most well known of the early lean retailers.,Wal-mart is one of the best lean retailers.,neutral,entailment
"Um, not really anything unusual.",It's happened before.,neutral,entailment
These are in turn surrounded and supported by holders of school certificates and other qualifications.,Holders of school certificates provide a vital support structure.,neutral,entailment
"It is important to note also that this product was not promoted at retail with discounted prices at any time during this period, so the variation is not due to consumers preferring to purchase a product when it was  on sale. ",Customers simply noticed the product more as our marketing kicked in.,neutral,contradiction
"Mr. Joseph Hymes'  Do Mistake'Learn Better  [XV,1] brought to mind the time a Japanese acquaintance told me of a friend of hers who decided to tackle the original English version of three books she had enjoyed while in Japan.",The books were first printed in Japanese.,contradiction,entailment
"As always, please feel free to visit our campus.",You have to set up an appointment before visiting,neutral,contradiction
One of us will call you to discuss how your company can become an important highly visible partner with the JCC in support of our scholarship programs.,"Response times vary, but we typically are in contact within 12 hours.",neutral,entailment
"Um, Can we turn that off while I think?",I need to have a quiet space in order to think properly.,neutral,entailment
Did he ever tell you any other stories?,Did he tell you other bed time stories?,neutral,contradiction
But he would indeed be feigning naivete to claim that generic man is now understood to include woman.,He is indeed naive about the generic man,contradiction,entailment
Sarah hung out with another family in the neighborhood.,Sarah spent time with her sister.,neutral,contradiction
"We are pleased to tell you of a very exciting development with the fund, which has reached a market value of $750,000.","The fund has a market value of $750,000 because we invested heavily in a ponzi scheme.",neutral,contradiction
Please join with us to see that happy endings do continue.,Join us to watch the happy endings for moms and babies.,neutral,entailment
"She has a cut, see?",She injured herself in the kitchen.,neutral,contradiction
We are also organizing an IU Periodontal Alumni Association that we discussed in Dallas.,The U Periodontal Alumni Association will be based in Dallas. ,neutral,entailment
"Let's see, recent authors You've probably never heard of any of these, but Gregory Benford is very good, these are science fiction, uh, see David Grant, science fiction that is real good.",David Grant only writes science fiction novels.,neutral,contradiction
.. Defication of humankind as supreme. ,Humankind is not supreme. ,contradiction,entailment
"The so-called diskette is a flat black square of rather tough plastic with a hole in the middle and an oblong slot on each of the flat sides; it is said to be 5 inches square, but that is a  as the only person who probably ever measured one of these things, I can tell you it is 5 3/16 inches square; that may seem irrelevant, but it is only the beginning of the Great Deception.","Diskettes are not used any more,.",neutral,contradiction
Are your parents putting a lot of pressure on you?,Is the pressure from your folks stressing you out?,neutral,entailment
" No, he is a hijack.",Terrorists from the middle east have hijacked the plane.,neutral,contradiction
"For as long as he needs it, Goodwill will continue to help.",Goodwill chooses 50 cases such as this annually to support.,neutral,contradiction
"Admittedly, there is no such thing as perfect synonymy, but the meanings of many pairs of words are close enough for this term to be used in the context of a pastime like crosswords.",Crossword games are a testament of the versatility and flexibility of linguistic synonymy.,neutral,contradiction
Men's clothing has generally been made in long production runs with only small variations among styles in a given year and relatively little change from year to year.,This worked for retailers because men's fashions were largely uniform.,neutral,entailment
"Throughout much of the post-World War II era, the majority of men's shirts sold in the United States were white dress shirts, primarily through department stores.",The white dress shirts were the most comfortable to wear.,neutral,contradiction
"In the 95 paper, I extend Tuleja my sympathies.",I am sorry for Tuleja.,entailment,contradiction
"Partnership with YMCA of Liberia - In 1998, we continued our efforts to help the YMCA of Liberia re-establish after 7 years of civil war.",It is expected that recovery will take a decade. ,neutral,entailment
"We are leaders in the bar, business, government, and community affairs.",We are the dregs of the community affairs and we know it.,contradiction,entailment
"She reported that the pilot had announced that the flight had been hijacked, and she asked her husband what she should tell the captain to do.",She said the pilot told them they'd been hijacked by an Iraqi man.,neutral,contradiction
"And he said, Ma'am, he said, what did the guerrillas that were there eating do with themselves?",He asked the girl what the guerrillas were up to. ,entailment,contradiction
"Notice how Alison's imagination ranges far beyond the immediate play props before her'a tea set, a toy truck, and an ambulance.",Notice how Alison's imagination involves abstract concepts. ,neutral,entailment
A manager at the Herndon Command Center asked FAA headquarters if they wanted to order a nationwide ground stop.,A ground stop was important to national security.  ,neutral,entailment
A small capital in Czechoslovakia ,The capital of Czechoslovakia is situated on a plain.,neutral,contradiction
"But under rapid replenishment arrangements, the inventory risk is now assumed by the apparel manufacturer; consequently assembly time is now very important.",Rapid replenishment arrangements puts inventory risk on the vendor.,contradiction,entailment
The groundwork for a true global terrorist network was being laid.,The terror network was never actually brought to fruition.,neutral,contradiction
The whole idea of such a procedure is enough to make one sweat bullets.,The procedure has a mediocre success rate.,neutral,contradiction
"Uh, I loved the part where they would, you know, make things out of nothing.",No other part was anywhere near as impressive as the one where things were produced out of nothing. ,neutral,entailment
"Again, the time it takes managers to reach a decision is what determines the length of this process.",Most managers take 3-5 days to make a decision.,neutral,contradiction
"hydrox It is wildly improbable that this is the name of a cookie and not a many-headed, bovine monster.",The name of the cookie reminds me of a movie about monsters I once watched.,neutral,contradiction
"Cameron can find his way out of a crowded reception faster than a waiter with an empty hord d'oeuvre tray, and can locate Miyares' van is a crowded parking lot with a simple command. ",Anyone can find Miyares' van in a crowded parking lot.,neutral,contradiction
"There is no arguing with taste, but even those who support the second tenet must admit that if researchers felt that way about cancer, syphilis, and AIDS, there would not be much point to research at all.","The second tenet goes against the fundamental scientific principle, it's useful on paper, but destructive in practice.",neutral,contradiction
The Chairman was out of the country.,The spokesperson had flown out of the country the day before.,neutral,contradiction
"Make-believe play, Vygotsky asserted, helps preschoolers conquer these impulses by granting the child repeated practice  in acting independently of what he sees. ",Children enjoy participating in make-believe plays.,neutral,entailment
"Uh, let's see.",I can't remember.,neutral,contradiction
"In any event, it is hard to discern, from the arch style affected in an attempt to make dull facts interesting, just what is the origin of sow one's wild oats .  In many entries, Claiborne labors the obvious, offering little or nothing we do not already know, could easily imagine, or for which the author offers no explanation.","Claiborne is an author in her mid 50s, with a degree from Princeton University.",neutral,contradiction
"I said to him, don't you know, Chepe, what it is?","Chepe didn't know. Chepe also didn't know why his name was Chepe, either.",neutral,entailment
Before she died and she crashed on that curve.,We had a lot of good times together before she died.,neutral,contradiction
"I think that was kind of hard for him, you know.",I hope that he was able to get over it.,neutral,entailment
No normal speaker of English encountering Man wants but little here below wonders'except facetiously'why women have been ignored.,Those who are not familiar with English never question this.,neutral,contradiction
The items are then stored in a way that makes them easy to pick for an order about to be shipped.,Organizing in a way so that items can be quickly picked for a shipped order maximizes the profits for the company and is the reason for success.,neutral,entailment
"Thanks to the support United Way of Central Indiana receives from people like you, there are hundreds of stories like Cecilia's.","United Way gets support from 340, 000 people.",neutral,contradiction
"He tried the radios, first calling the aircraft directly, then the airline.","He tried talking to the pilot, then he contacted the airline.",entailment,contradiction
Home in Black Mountain a chile' will smack yo' face;,A chile can be very strong in Mexican food.,neutral,contradiction
A local software company has generously donated a complete analysis of our computer hardware and software needs so that the school can offer faculty and students the most up-to-date information technology.,The company also went ahead and donated textbooks. ,neutral,contradiction
"The NEADS technician who took this call from the FAA immediately passed the word to the mission crew commander, who reported to the NEADS battle  Mission Crew Commander,  Okay, uh, American Airlines is still airborne.",The battle commander tried to devise a strategy to stop the plane.,neutral,contradiction
"He argued that other extremists, who aimed at local rulers or Israel, did not go far enough.",Other extremists were scared to push the limit in fear of their well being.,neutral,contradiction
"As the children gained perceptual, cognitive, and motor experiences, stimulated intact areas of the cerebral cortex compensated for the early damage.",The cerebral cortex of children with brain damage was stimulated by using therapies that relied on cognitive and motor experiences. So therapy is a huge part of recovery now.,neutral,contradiction
The time was 9:38.,The time was after noon.,contradiction,entailment
"The business grew and eventually, he was helping thousands nationwide.",Without his company growing he wouldn't be able to reach as many people. ,neutral,contradiction
"Jarrah was in seat 1B, closest to the cockpit; Nami was in 3C, Ghamdi in 3D, and Haznawi in 6B.","Jarraj, Nami, Ghamdi, and Haznawi meticulously arranged this seating.",neutral,contradiction
"The Indianapolis YWCA is an open, supportive organization concerned with women and families; providing opportunities to develop skills, knowledge and resources in the areas of health, self-awareness and leadership.",Women have been coming and using the YWCA for years.,neutral,entailment
"* All times given for this conference call are estimates, which we and the Department of Defense believe to be accurate within a ˨ˠ3 minute margin of error.",The members of the call were very stressed and had trouble remembering the time.,neutral,contradiction
How far away?,How many more kilometers to the lodge?,neutral,contradiction
"Denim is from de `from' + Nimes , the town.","Denim is from Dimes and neim, the arabic word for town.",contradiction,entailment
"Azzam, by contrast, favored continuing to fight in Afghanistan until it had a true Islamist government.",Azzam favored fighting in Afghanistan until it was truly Islamist and everyone followed Allah.,neutral,contradiction
" It sounds like, we're talking to New York, that there's another one aimed at the World Trade Center.",Controllers were working to try to get the plane to change course.,neutral,contradiction
"Children who failed to grasp the kidnapper's motive and the reason for the arrest judged him to be  good,  not  bad. ",Kids who don't understand why kidnappers are doing what they are doing thought they were bad.,contradiction,entailment
"In short, while leaders in Washington believed that the fighters above them had been instructed to take out hostile aircraft, the only orders actually conveyed to the pilots were to ID type and tail.","As a result, the hijacked planes were allowed to remain in the air.",neutral,contradiction
"Incidentally, I startled them one day with Victor Borge's punctuation system, which instructed and delighted them with its differentiated popping and spitting.","Besides popping and spitting, Victor Borge's punctuation system also has other differences.",neutral,entailment
"Or the virtual impossibility of finding a quiet place to study or even think, so that the children can cope in school and one day have a chance of achieving something better?","Don't kids struggle to find a quiet place to study, which means they have difficulty coping with school?",entailment,contradiction
How can the definers be sure we will know without being told that a man-about-town is never a woman?,How can one be sure a man was not born a woman? It is very deceiving  unless someone would tell you. ,neutral,entailment
They say we're going up in the mountains to find some snow.,The family vacation will be up in the mountains this year to find some snow.,neutral,entailment
"I just had a report that American 11 is still in the air, and it's on its way towards-heading towards Washington.",American 11 will arrive at Washington within the hour.,neutral,contradiction
"The idea of a domestic command for homeland defense began to be discussed in 1997, and in 1999 the Joint Chiefs developed a concept for the establishment of a domestic Unified Command.",The Joint Chiefs don't like the idea of a domestic command.,neutral,contradiction
"We do this through a wide range of programs including community- based, therapeutic foster care, group homes and our treatment center.","We offer many services, while trying to tend to individual needs. ",neutral,entailment
As if this earth in fast thick pants were breathing.,It's like the earth was sighing because we made it sad.,neutral,contradiction
Did you have lots of storybooks at your house that were read to you?,Did your parents read their books to you?,neutral,entailment
"For example, James Garner's Rockford dubbed as a Japanese tenor is a reminder of one's firm awareness of Garner's American tone and timbre.",Garner's timbre is uniquely complex in nature.,neutral,contradiction
Another book that I read recently is very interesting books The Journals of Lewis and Clark.,I read The Journals of Lewis and Clark last week. ,neutral,contradiction
That nine minutes' notice before impact was the most the military would receive of any of the four hijackings.,"In all of the hijackings, the earliest notification the military would receive was nine minutes ahead of the crash.",entailment,contradiction
"We found no evidence that, at this critical time, NORAD's top commanders, in Florida or Cheyenne Mountain, coordinated with their counterparts at FAA headquarters to improve awareness and organize a common response.",The commanders ignored the urgent issue and did not help the cause.,neutral,entailment
"Yeah, it did because I know people from Charlotte now that went to like, not to slam Providence because I like a lot of those people, but they like have like so many like stereotypes of people because they don't know anybody.",The Providence is a great place to get steak.,neutral,contradiction
Five calls described the intent of passengers and surviving crew members to revolt against the hijackers.,The calls were made to loved ones and authorities.,neutral,contradiction
"Not until 1998 did al Qaeda undertake a major terrorist operation of its own, in large part because Bin Ladin lost his base in Sudan.","After this operation, Bin Ladin was motivated by the effectiveness of the attack.",neutral,contradiction
"In our sample, business units used some type of automatic spreading for about 39 percent of the volume of goods they shipped.","In our sample, business units used a type of spreading for exactly 39.2 percent of the volume of goods shipped.",neutral,contradiction
"Chapters 13 through 15 examine the channel as a whole, from global, private-performance, and public-policy perspectives.",Private-performance is more heavily monitored than the others.,neutral,contradiction
(Points again to the bottom of the puzzle),Gestures a third and forth time as well.,neutral,entailment
United Way's impact begins with research that helps answer important ,United Way has a broad impact because they start with research,neutral,entailment
"One admiral declares that he was literally thus cradled, under the breast of a gun-carriage. ",It was bad fortune to be cradled under a gun carriage.,neutral,contradiction
FAA personnel at both Reagan National and Dulles airports notified the Secret Service.,FAA personnel at both airports contacted the Secret Service and told them about the hijackings.,neutral,contradiction
Please remain quiet.,Please don't speak for ten minutes.,neutral,entailment
"Having spreading, computer-cutting, fusing, and inspection in the same areas also allows teams of cross-trained workers to prepare the order for sewing, finishing, final inspection, and packaging.",The cross-trained workers have a hard time preparing the order.,neutral,contradiction
Air Force One departed at about 9:54 without any fixed destination.,"Air Force One left, unsure where they would go and waiting for more information from FAA.",neutral,entailment
"Walked through her bedroom around 6:30, seven o'clock in the morning you know.",She was still sleeping when I walked through her room.,neutral,contradiction
The simplest is for one or more of the members to simply donate one million dollars to the IGGS Scholarship Fund.,"The simplest is to donate one million dollars to the IGGS scholarship fund, but one can also donate to another charity. ",neutral,entailment
"They would rather me stay in Nursing because they know that's where my heart is but, um, you know, they're behind me in whatever I decide to do.","They put a particular effort into reassuring me that my decision either way on whether to stay in nursing will be respected, because they've both suffered as a result of having loved ones criticise or invalidate their choices.",neutral,contradiction
"Yet most understand its great potential, even if they openly admit they don't have all the answers.",They can narrow down almost all the reasons for its great potential.,neutral,contradiction
What how often.,I don't mind how many times you did whatever.,neutral,contradiction
Uh she had a big garage that was separate from the house and almost bigger than the house it was almost like it was a barn.,The garage she had was nearly as big as her home.,entailment,contradiction
Building a Support System for Acquiring New Knowledge and Skills,Promoting skill growth by encouraging the child to find their own way.,neutral,contradiction
"This year's contribution form includes a place to indicate how your donation should be used, or just make your check out to the IGGS Scholarship Fund.",The form never had an option to indicate how your donation could be used in the past. ,neutral,contradiction
"Yeah, I have a son that uh, likes to relive the tragedy of his split lip.","My son isn't really that fond of telling any stories, but he does have this one that he loves to tell to everyone and everything that he can about his split lip.",neutral,contradiction
Fifty-six passengers boarded the flight.,"Fifty-six people boarded, however, 5 people missed the flight.",neutral,contradiction
"However, in light of the growth of rapid replenishment, our research predicts that the performance of these two units will vary over time, with the supplier that has implemented flexible planning and short-cycle production processes coming out ahead.",The research focused purely on the growth of rapid replenishment. ,neutral,contradiction
'Cause we have got confirmation-  He did not land.,It was confirmed that other planes had landed.,neutral,contradiction
"U.S. officials became aware of these secret discussions, certainly by March.",The officials acted on the secret discussion information.,neutral,entailment
But I do got a 100 dollars.,I have 100 dollars in gifts.,neutral,entailment
Feminists have much to say about men's claim that women talk too much.,Feminists dispute the claim that women talk too much.,neutral,contradiction
"The Vice President's military aide told us he believed the Vice President spoke to the President just after entering the conference room, but he did not hear what they said.","The aide did not hear what was said, however others in their entourage may have heard something more.",neutral,entailment
The monkey on board ship was a lad employed to fetch supplies'powder and so forth'to the guns.,The monkey was incredibly fast and thorough with his job. ,neutral,entailment
"You can go out on the weekends but during the week it, you know, it should be study time.","It bothers me that you often go out during the week, because I worry that you're falling behind in your studies. ",neutral,contradiction
"And as I look at the last slip in my random handful, again I encounter a classificatory ",The last slip was blue with a yellow stripe on one end.,neutral,contradiction
"I'll ask you first Mom, and then Dad.","I have a couple more questions for you, mom and dad.",neutral,entailment
I have a savings account.,I've deposited some money in my savings account.,neutral,entailment
Please join us as we continue to rebuild this historic neighborhood into a place of pride and community strength.,We will continue to rebuild the historic neighborhood and reduce the violence we've dealt with lately.,neutral,contradiction
"Now, I'm on a journey.",The journey I am on now is a new one.,neutral,entailment
"I have seen a calendar (Workman Publishing Co., New York) which defined it as  personal magnetism and charm,  and said,  Given today's extensive TV coverage, political candidates need duende if they hope to be accepted by the public. ","This calendar was the only one of its kind, for an obvious reason.",neutral,contradiction
"Top-down  an apex of professors and doctors buttressed by the holders of college degrees (many of them lower-level administrators, teachers, and researchers within the system).",Every professor and doctor has a college degree. ,neutral,entailment
"Older preschoolers realize that people's beliefs, not just their desires, aect their behavior.",Older preschoolers know people's beliefs affect their behavior when they are angry.,neutral,contradiction
What Clustering Looks Like in the Real World,Clustering is an effective technique in the real world.,neutral,entailment
"By 1920, over half of the spinning and weaving capacity was in the South, leading industrialization there.",Most of the weaving capacity was in the South because it was close to ports.,neutral,contradiction
Your past support of the Challenger program has been critical to its success these last four years.,Your past support included financial support to the program,neutral,entailment
Your support for our work would be greatly appreciated.,Our preferred form of support is financial contributions.,neutral,contradiction
It's just not me.,I'm not the only one.,entailment,contradiction
Its blades are its  spears. ,It uses real spears rather than a substitute.,neutral,contradiction
"The flight attendant reported that the flight had been hijacked, both pilots had been killed, a flight attendant had been stabbed, and the hijackers were probably flying the plane.",Both pilots put up a heroic struggle before being killed.,neutral,contradiction
"Bin Ladin declined, apparently judging that his circumstances in Afghanistan remained more favorable than the Iraqi alternative.","Judging that his circumstances in Afghanistan remained more favorable than the Iraqi alternative, Bin Laden decided to stay in Adghanistan.",neutral,entailment
"The parent always in a hurry'who says, when the child desires involvement,  There isn't time,  or who fails to insist that the child join in household tasks in keeping with his or her capacity'severely limits the child's learning.",The parent who insists that their child do some household chores encourages the child's learning.,entailment,contradiction
"While the evidence of Iranian involvement is strong, there are also signs that al Qaeda played some role, as yet unknown.",The evidence proving Iranian involvement is absolutely trustworthy.  ,neutral,contradiction
"Some time ago, Texans picked up a speech habit that is being acquired by the rest of the country.",The Texan people mimicked the accent of the rest of Americans,contradiction,entailment
"And, where the reference is made in the first paragraph to  the twanging release of Ulysses' silver bow,  that the bowman is not Ulysses but Apollo, shooting into the Greek camp.",Socrates wrote extensively about the god Apollo.,neutral,contradiction
) for the ironic title of his dystopic novel.,That it was chosen for the title of a novel about how bad the world can get is ironic.,neutral,entailment
"While pretending, Vygotsky explained, children repeatedly face confiicts between the rules of the make-believe situation and what they would do if they could act impulsively, and they usually decide in favor of the rules.",Children tend to follow the rules when playing pretend because they want rewards from their parents. ,neutral,contradiction
"Of those beginning prenatal care in the first trimester, Indiana mothers rank in the lower third of individuals receiving such care nationwide.",There are Indiana mothers who do not receive prenatal care in the first trimester.,entailment,contradiction
"At 8:48, while the controller was still trying to locate American 11, a New York Center manager provided the following report on a Command Center teleconference about American 11:",A manager at the  New York Center gave the report that follows while the controller was still unable to find American 11.,entailment,contradiction
"In the 95 paper, I extend Tuleja my sympathies.",I am sorry for Tuleja.,entailment,contradiction
 the evidence in the published work is quite thin,There is evidence that shows the work has false claims.,neutral,entailment
"He views either of them as the instrument, the bond, of his not being able to pass on the crown to a successor of his choosing (or of his subsequent begetting).",Actually passing on the crown is quite simple and easy.,neutral,contradiction
I have nobody here to guide me.,"I've found it refereshing that there's no one here to offer their guidance, because it's meant I've finally had space to find my own way. ",neutral,contradiction
Five calls described the intent of passengers and surviving crew members to revolt against the hijackers.,The calls were made to loved ones and authorities.,neutral,contradiction
"Indeed, if you watch preschoolers at play, you will see that they rarely violate the rules of their social world.",About 10 percent of preschoolers appear to violate social rules when playing.,neutral,contradiction
On the monkey bars I used to swing up and get on top of it.,I used to get up on the monkey bars with friends.,neutral,entailment
It is regrettable that Lederer uses the word  corruption  (p.,Lederer is a very good writer and receives much praise from critics.,neutral,contradiction
That message and all subsequent attempts to contact the flight were not acknowledged.,"Dozens of attempts were made to contact the flight, but none got a response.",neutral,contradiction
"Countering Locke's image of an all-powerful adult tutor, eighteenth-century French philosopher Jean Jacques Rousseau conceived of the child as a  noble savage 'untamed but naturally good, with an innate plan for orderly, healthy growth.",Locke and Rousseau's theories on child rearing are similar.,contradiction,entailment
"Not really, that's all.",We do not have anything else.,entailment,contradiction
"A Big Sister is a mentor, a friend and a role model, helping a young girl to develop the self-confidence and life skills necessary to become a responsible, productive and successful adult.",Some of the young girls that had mentors will someday return as adults to become a Big Sister.,neutral,entailment
"In this case, public outrage led to early workers' compensation and factory inspection legislation.",Public outrage and protesting lasted for two weeks before legislative actions were made.,neutral,contradiction
" It took me really a long time to sort what was going on in my mind out,  she said.",She now knows what was going on in her mind.,entailment,contradiction
"As a member of the Law Alumni Board (Board of Visitors) you are quite well acquainted with the programs, progress and problems of the law school.",The law alumni board has the uppermost authority in the school. ,neutral,contradiction
They were armed and under NORAD's control.,They were eager to find and engage with their target.,neutral,contradiction
"Bear in mind, however, that the information-integrated channel requires substantial investment in technologies by retailers.",Retailers might want to invest in other things too.,neutral,entailment
"IUPUI's goals for the 1990s, in the context of Indiana University's statewide plans, call for improving undergraduate education, enhancing relationships with the community , and strengthening research that will stimulate Indiana's economic growth.",The economic growth of Indiana was very poor in the 1990's.,neutral,contradiction
Attaining a Subtle Grasp of Mental Life.,And it's effects on the way we live as humans.,neutral,entailment
"You can go out on the weekends but during the week it, you know, it should be study time.","Don't go out during the week: it's best to keep the weekdays for studying, and let your hair down at the weekend. ",entailment,contradiction
"The so-called diskette is a flat black square of rather tough plastic with a hole in the middle and an oblong slot on each of the flat sides; it is said to be 5 inches square, but that is a  as the only person who probably ever measured one of these things, I can tell you it is 5 3/16 inches square; that may seem irrelevant, but it is only the beginning of the Great Deception.","Diskettes are not used any more,.",neutral,contradiction
"Please send any survival tips for third and fourth year dental students to me, in care of IUSD!",Survival tips are very important for fourth year dental students in particular. ,neutral,entailment
Many Little Sisters are preparing to go back to school this fall full of hope and with a positive outlook.,The Little Sisters have a positive outlook for the first time.,neutral,contradiction
"In Sudan, he established an Islamic Army Shura that was to serve as the coordinating body for the consortium of terrorist groups with which he was forging alliances.",He was a native of Sudan.,neutral,contradiction
The line to the White House shelter conference room-and the Vice President- kept cutting off.,The line to the White House shelter conference room kept dropping calls so the Vice President was impossible to reach.,neutral,contradiction
One of the passengers who mentioned a bomb expressed his belief that it was not real.,This person witnessed someone with a fake bomb.,neutral,entailment
Then detach the lower portion and return to us as soon as possible in the postage-paid envelope.,"If you delay sending us the pre-paid envelope, we cannot accept it.",neutral,contradiction
And we don't waste money.,"We never waste any money, all monies collected are dispersed in a responsible manner.",neutral,entailment
"Indiana residents (4,400 of our 5,980 alumni) may also take advantage of the Indiana Tax Credit (Form CC-40).",The tax credit is expected to be around a $400 rebate per year.,neutral,contradiction
Bin Ladin had an important part in this activity.,"Bin Laden while in Saudi Arabia, played a major role in the events that transpired.",neutral,entailment
Some were in business and some were talking about starting a business.,They all had various needs but the same goals with their businesses.,neutral,contradiction
"And, as a Palestinian, he saw Israel as the top priority for the next stage.",He wanted a two-state solution to the Israel-Palestine conflict. ,neutral,contradiction
Is he your favorite superhero?,Is Iron Man your favorite superhero?,neutral,entailment
It is shameful that the Gage Canadian allows only  plaid. ,Gage Canadian shouldn't allow only plaid.,entailment,contradiction
"Between 9:01 and 9:02, a manager from New York Center told the Command Center in ",In just a minute the manager from the New York Center managed to summarize the catastrophe.,neutral,contradiction
