premise,hypothesis,gold_label,pred_label
New initiatives in the inner-city are taking hold.,We hope to have 100 inner-city mentors next year.,neutral,entailment
"So after two or three days he called Callgrove and said, Don't bother coming in I found a guy better than you.",He called up Callgrove to give him a raise.,contradiction,entailment
"I would just scream and scream you know that, No, no, don't do that.","Please, whatever you do, don't do that; you know I would be screaming for hours, it's my greatest fear.",neutral,entailment
"Not really original, no, it was, uh, poems by well-known authors that you'd find in a book, but she had to memorize a lot of them, and she, but she read us children's poems, too, out of books, books that were written for children.",She never memorized any poems.,contradiction,entailment
No normal speaker of English encountering Man wants but little here below wonders'except facetiously'why women have been ignored.,Women have never been ignored.,contradiction,entailment
The other aircraft referred to by New York Center was United 175.,"New York Center mentioned two aircrafts, including United 175.",neutral,entailment
"Uh, my mom took me for a it, um, doctor's visit uh, it was a physical.",My mom went into the doctor's examination room with me.,neutral,entailment
The field is about 100 years old.,The field is 2 years old.,contradiction,entailment
"OK, I said, So, how do we do it?",I knew how to do it. ,contradiction,entailment
History and Political Context Few fundamentalist movements in the Islamic world gained lasting political power.,There is no correlation between the fundamentalist movements and politics.,contradiction,entailment
We need to talk to FAA.,We don't need to speak with FAA.,contradiction,entailment
"At some point between 9:16 and 9:26, Barbara Olson called her husband, Ted Olson, the solicitor general of the United States.",Ted Olson does not work for the U.S. Government.,contradiction,entailment
Cabin service would have begun.,Cabin service was disrupted by them.,neutral,entailment
Thank you for your ongoing support of our great school!,"Our great school could care less about your support, we can manage without you and your donations.",contradiction,entailment
"Um, do you have a, one of those types of stories?",I'm sorry you don't have any stories to tell.,contradiction,entailment
"Late last Spring, we established an account for the IGGS Scholarship to help defray the tuition costs for an undergraduate major in Geology at IUPUI.",This scholarship was a significant help to Geology students.,neutral,entailment
Machines are laid out in a manner that speeds up shuttling a bin of garment bundles from operator to operator.,The process was optimized to reach maximum efficiency.,neutral,entailment
Understanding is the key.,Understanding has no impact at all ,contradiction,entailment
"It is safe to say that lean retailers have also come out ahead, given their rapid growth in relation to, and at the expense of, traditional retailers in many different retail channels.",Traditional retailers were more profitable 35 years ago.,neutral,entailment
The growth of private-label programs among retailers in the 1980s exemplifies this trend.,The private-label programs grew in the 1980's because of the internet.,neutral,entailment
"An astute mother I observed in the grocery store had her 3-year-old son, Ricky, reach for items on the shelf and put them in the cart.",Ricky was interested only in the items he saw were colorful. ,neutral,entailment
"And as our discussion in Chapter 6 will reveal, on the whole, the quality of American child care'whether center-based or home-based'is mediocre to abysmal.",American child-care is typically anywhere from very good to excellent.,contradiction,entailment
"Yeah, I know he had on pants, he had on a long sleeve I think the cuffs were rolled up once or twice.",I know he had black pants.,neutral,entailment
"Cancel, and tear to pieces, that great bond Which keeps me pale!",I don't want to be pale anymore because it makes me look sickly.,neutral,entailment
"It seems unnecessary to point out that Framework cannot have a very sophisticated list of words if it has only 37,000 in its memory, but I thought it might be interesting to see what substitutions were evoked by SUGGEST.",There was no reason to mention that Framework is not sophisticated since most people know.,neutral,entailment
"Thank, thank you for your stories.",Thank you for your war stories.,neutral,entailment
"So, too, feminists lobby for gender-neutral terms when appropriate.",Gender neutral terms should always be used.,neutral,entailment
"In order to do this, laboratories must be developed and maintained with equipment that will provide first-rate, hands-on experience for our students.",Your donations help make this possible.,neutral,entailment
"The FAA, the White House, and the Defense Department each initiated a multiagency teleconference before 9:30.","The FAA, WHite House, and Defense Department were in a teleconference together at 10:00.",neutral,entailment
I feel like it's that way everywhere.,I don' particularly like it that way.,contradiction,entailment
"Indeed, Washington wore a dark brown suit, entirely made in America, for his first inaugural on April 30, 1789.",Most people did not notice that Washington's suit was brown at his first inaugural in April of 1789.,neutral,entailment
"Rosy, too, had seen the tune as Muskrat, Muskat , and Muscat .  I asked him what he thought the original title was.",Rosy had seen the tune with just one name.,contradiction,entailment
"During his entire time in Sudan, he had maintained guesthouses and training camps in Pakistan and Afghanistan.",He was never in Sudan.,contradiction,entailment
"Map 33 shows the distribution of child (most of southern England) and of bairn (north of a slightly wavy line between Boston, on the Wash to the east, and Lancaster, on the west coast).",Bairn was the pre-eminent word in the North of England.,neutral,entailment
Bin Ladin's grievance with the United States may have started in reaction to specific U.S. policies but it quickly became far deeper.,Bin Ladin had grievances with the United States starting with U.S. foreign policy.,neutral,entailment
"It is far better for anyone to kill a single American soldier than to squander his efforts on other activities, he said.",Each dead American soldier is a waste of resources better spent elsewhere.,contradiction,entailment
That is the basis of modern sewing operations in manufacturing facilities.,This does not apply to old-fashioned sewing operations.,neutral,entailment
"Please consider joining the Chairman's Roundtable with a gift of $1,000.","Donations of $1,000 or more do not offer any special benefits.",contradiction,entailment
GENI organizes teacher workshops for K-12 teachers and assists them in developing geography teaching materials for classroom use.,GENI also organizes workshops for other teaching materials. ,neutral,entailment
"I spent hours daydreaming and looking at old pictures of Mom, Dad, Sarah, and me. ",I looked at old movies.,contradiction,entailment
GENI organizes teacher workshops for K-12 teachers and assists them in developing geography teaching materials for classroom use.,GENI does not assist teachers at all. ,contradiction,entailment
"For one thing, he documents many neologisms, an activity that endears him to many working lexicographers.","Despite his record of documenting neologisms, lexicographers are opposed to his methods.",contradiction,entailment
18 The advantage of using VMI programs stems from the retailer and manufacturer working together to determine a flow of shipments that optimizes the economics of the two parties as a system.,Many retailers work with foreign manufacturers in business.,neutral,entailment
"Because they were living in a, in an apartment basically.",They're in better housing now.,neutral,entailment
"Indeed, retailers like Wal-Mart Stores, Kmart Corporation, and Dillard's Inc. have been the driving forces behind changes in manufacturing and logistics systems in a way that was unheard of in Bond Stores' time.",Only three retailers have been the force behind changes in technology.,neutral,entailment
"Periodically, the Islamic world has seen surges of what, for want of a better term, is often labeled fundamentalism.",These periods are most evident by periods of extreme violence.,neutral,entailment
"Such fund are often used for college tuition, vocational training or a deposit on an apartment.",You may not use the funds for a deposit on an apartment.,contradiction,entailment
"Bin Ladin shares Qutb's stark view, permitting him and his followers to rationalize even unprovoked mass murder as righteous defense of an embattled faith.",There are 5 similar cases of religion-inspired mass murder.,neutral,entailment
These are dead people that are--,Dead people are like this.,neutral,entailment
"Recall how Sophie satisfied both teddy bear's and leprechaun's desire for a lollipop, when just one TinkerToy lollipop was available.",Sophie had two lollipops at her disposal.,contradiction,entailment
"I'm opening up like five pools and they're giving me a headache because they all turned green today, so, that's like the most fun job for me.","I opened five pools just last week and when I checked today, the water was green, which was super annoying.",neutral,entailment
") Juvenal wrote his satire on Rome in the early years of the second century, during the reign of the Emperor Trajan.",Juvenal wrote about Emperor Trajan.,neutral,entailment
"When two peoples speaking different languages share a common border, there is an infiltration of words from one language to the other.",Languages are rigid and do not flow between groups.,contradiction,entailment
" It took me really a long time to sort what was going on in my mind out,  she said.","My friend helped me to make sense of what was going on in my mind, she said.",neutral,entailment
Wal-Mart is the most well known of the early lean retailers.,Wal-mart is one of the best lean retailers.,neutral,entailment
"Um, not really anything unusual.",It's happened before.,neutral,entailment
These are in turn surrounded and supported by holders of school certificates and other qualifications.,Holders of school certificates provide a vital support structure.,neutral,entailment
"They assumed the fighter escort would be discreet, vectored to a position five miles directly behind the hijacked aircraft, where it could perform its mission to monitor the aircraft's flight path.","The mission was to be right behind the plane, not five miles away.",contradiction,entailment
"It is important to note also that this product was not promoted at retail with discounted prices at any time during this period, so the variation is not due to consumers preferring to purchase a product when it was  on sale. ",Customers simply noticed the product more as our marketing kicked in.,neutral,entailment
"Well, because it was really interesting stuff.",That stuff was utterly boring for me.,contradiction,entailment
"Mr. Joseph Hymes'  Do Mistake'Learn Better  [XV,1] brought to mind the time a Japanese acquaintance told me of a friend of hers who decided to tackle the original English version of three books she had enjoyed while in Japan.",The books were first printed in Japanese.,contradiction,entailment
"As always, please feel free to visit our campus.",You have to set up an appointment before visiting,neutral,entailment
One of us will call you to discuss how your company can become an important highly visible partner with the JCC in support of our scholarship programs.,"Response times vary, but we typically are in contact within 12 hours.",neutral,entailment
"Um, Can we turn that off while I think?",I need to have a quiet space in order to think properly.,neutral,entailment
Did he ever tell you any other stories?,Did he tell you other bed time stories?,neutral,entailment
But he would indeed be feigning naivete to claim that generic man is now understood to include woman.,He is indeed naive about the generic man,contradiction,entailment
"I, I do think they read to them when they are little.",They were never told stories when they were little.,contradiction,entailment
"As we prepare for all the events this fall, we are also looking into the future with the preparations for a new facility for the professional art school, administrative offices, faculty studios, a library and a contemporary gallery.",We haven't had time to think about the future or even prepare for Fall.,contradiction,entailment
The problem was solved simply by using an already standard character that had a similar sound to what the Viet called themselves.,The problem remained intractable because it was impossible to substitute other characters.,contradiction,entailment
"Last year, you gave us a contribution of $xx, for which we, and the people you helped, are grateful.",That money you gave us last year got spent on booze and porn parties.,contradiction,entailment
Sarah hung out with another family in the neighborhood.,Sarah spent time with her sister.,neutral,entailment
The music industry.,The film business.,contradiction,entailment
"We are pleased to tell you of a very exciting development with the fund, which has reached a market value of $750,000.","The fund has a market value of $750,000 because we invested heavily in a ponzi scheme.",neutral,entailment
Please join with us to see that happy endings do continue.,Join us to watch the happy endings for moms and babies.,neutral,entailment
"A moment later, the clear, high-pitched sound of the whistle could be heard over the Rabbi's final shofar blast.",The whistle didn't make any sound.,contradiction,entailment
"She has a cut, see?",She injured herself in the kitchen.,neutral,entailment
So would a society.,A society would not.,contradiction,entailment
We are also organizing an IU Periodontal Alumni Association that we discussed in Dallas.,The U Periodontal Alumni Association will be based in Dallas. ,neutral,entailment
"Let's see, recent authors You've probably never heard of any of these, but Gregory Benford is very good, these are science fiction, uh, see David Grant, science fiction that is real good.",David Grant only writes science fiction novels.,neutral,entailment
"Notwithstanding the valuable role he plays in inspiring nonlinguists to think about language and in informing them about myriad facets of the subject, I find it hard slogging (or, as he would probably write,  sloguing ).","I have no trouble communicating facts about language to nonlinguists, but he struggles mightily.",contradiction,entailment
.. Defication of humankind as supreme. ,Humankind is not supreme. ,contradiction,entailment
"The so-called diskette is a flat black square of rather tough plastic with a hole in the middle and an oblong slot on each of the flat sides; it is said to be 5 inches square, but that is a  as the only person who probably ever measured one of these things, I can tell you it is 5 3/16 inches square; that may seem irrelevant, but it is only the beginning of the Great Deception.","Diskettes are not used any more,.",neutral,entailment
Are your parents putting a lot of pressure on you?,Is the pressure from your folks stressing you out?,neutral,entailment
" No, he is a hijack.",Terrorists from the middle east have hijacked the plane.,neutral,entailment
"For as long as he needs it, Goodwill will continue to help.",Goodwill chooses 50 cases such as this annually to support.,neutral,entailment
"Admittedly, there is no such thing as perfect synonymy, but the meanings of many pairs of words are close enough for this term to be used in the context of a pastime like crosswords.",Crossword games are a testament of the versatility and flexibility of linguistic synonymy.,neutral,entailment
"Twenty-three when he arrived in Afghanistan in 1980, Bin Ladin was the seventeenth of 57 children of a Saudi construction magnate.",He was ten when he entered Afghanistan in 1990.,contradiction,entailment
"At last, he has found success in a job that he loves.","At last, he retired and stopped working a job that he hates.",contradiction,entailment
"The disadvantage of this kind of machine is that it makes seams that are not as secure as the lockstitch; in addition, the appearance of the seam from the top and bottom of the fabric is different.",This machine makes seams that are more secure than the lockstitch.,contradiction,entailment
Men's clothing has generally been made in long production runs with only small variations among styles in a given year and relatively little change from year to year.,This worked for retailers because men's fashions were largely uniform.,neutral,entailment
"Throughout much of the post-World War II era, the majority of men's shirts sold in the United States were white dress shirts, primarily through department stores.",The white dress shirts were the most comfortable to wear.,neutral,entailment
"So, it's like she, uh, and the education wasn't the same back in those days.",The education was the exact same as it was in the past.,contradiction,entailment
"Partnership with YMCA of Liberia - In 1998, we continued our efforts to help the YMCA of Liberia re-establish after 7 years of civil war.",It is expected that recovery will take a decade. ,neutral,entailment
The supervisor instructed the controller to follow standard procedures for handling a no radio aircraft.,The controller was told to take abnormal steps for the aircraft.,contradiction,entailment
"Additionally, there is a tremendous need to upgrade the technological infrastructure of the school.",The technological infrastructure of the dental school is currently state-of-the-art. ,contradiction,entailment
"go off half cocked Muzzleloaders, then as now, had a half cock, or safety position, for a gun's hammer that partially back-locked the trigger mechanism so that the weapon could not be fired.",A gun's hammer does not connect to the trigger component.,contradiction,entailment
"We are leaders in the bar, business, government, and community affairs.",We are the dregs of the community affairs and we know it.,contradiction,entailment
"She reported that the pilot had announced that the flight had been hijacked, and she asked her husband what she should tell the captain to do.",She said the pilot told them they'd been hijacked by an Iraqi man.,neutral,entailment
"Even after controlling for the independent effects of firm size, product mix, and distribution channel on performance, we found that the most innovative firms were significantly more profitable than those that had adopted fewer of the key practices.",Innovation does not lend positive benefit.,contradiction,entailment
We were staying here in Albemarle.,"Believe it or not, we never really spent much time in Albemarle.",contradiction,entailment
An endowed chair will greatly benefit the IU School of Dentistry in recruiting and retaining outstanding faculty.,A endowed chair won't help the indiana school of dentistry at all. ,contradiction,entailment
"As technology advances, life imitates art.",Art imitates life.,contradiction,entailment
"Gowers, himself an Englishman, said that  in Scotland, its land of origin, the pronunciation is skawn , and English people who know this so pronounce it. ",Gowers is a Frenchman so he doesn't know how English people say it.,contradiction,entailment
"Lush, green fields that stretched for miles, wisps of white clouds scattered across a clear, blue sky, tranquil silence broken only by cheerful bird songs, the fresh, sweet scent of morning air.",The fields were full of strawberry crops.,contradiction,entailment
"Notice how Alison's imagination ranges far beyond the immediate play props before her'a tea set, a toy truck, and an ambulance.",Notice how Alison's imagination involves abstract concepts. ,neutral,entailment
A manager at the Herndon Command Center asked FAA headquarters if they wanted to order a nationwide ground stop.,A ground stop was important to national security.  ,neutral,entailment
A small capital in Czechoslovakia ,The capital of Czechoslovakia is situated on a plain.,neutral,entailment
From that point of view the differing interpretations Mr. Anson and I read into the passage are of secondary importance.,The differing interpretations are of upmost importance and cannot be overlooked.,contradiction,entailment
"But under rapid replenishment arrangements, the inventory risk is now assumed by the apparel manufacturer; consequently assembly time is now very important.",Rapid replenishment arrangements puts inventory risk on the vendor.,contradiction,entailment
Two minutes later the transponder was turned off and even primary radar contact with the aircraft was lost.,The aircraft took 5 more minutes for the transponder to turn off.,contradiction,entailment
The groundwork for a true global terrorist network was being laid.,The terror network was never actually brought to fruition.,neutral,entailment
The whole idea of such a procedure is enough to make one sweat bullets.,The procedure has a mediocre success rate.,neutral,entailment
"Uh, I loved the part where they would, you know, make things out of nothing.",No other part was anywhere near as impressive as the one where things were produced out of nothing. ,neutral,entailment
"Now you're in, in what grade?",You dropped out of school.,contradiction,entailment
Both unions established a foothold in the industry because they represented strategic workers in the apparel production  the skilled cutter working inside manufacturers' plants.,The unions failed to gain traction in the industry due to a lack of skilled labor.,contradiction,entailment
"Again, the time it takes managers to reach a decision is what determines the length of this process.",Most managers take 3-5 days to make a decision.,neutral,entailment
"hydrox It is wildly improbable that this is the name of a cookie and not a many-headed, bovine monster.",The name of the cookie reminds me of a movie about monsters I once watched.,neutral,entailment
"Cameron can find his way out of a crowded reception faster than a waiter with an empty hord d'oeuvre tray, and can locate Miyares' van is a crowded parking lot with a simple command. ",Anyone can find Miyares' van in a crowded parking lot.,neutral,entailment
"she said to them, because of you we're going to die too, through no fault of our own!",She said because of all of you we're going to live!,contradiction,entailment
A more convincing case for Latin studies can be made on other grounds (if the study of ANY language requires pleading).,There are no cases nearly as convincing for Latin studies that reside on other grounds.,contradiction,entailment
"There is no arguing with taste, but even those who support the second tenet must admit that if researchers felt that way about cancer, syphilis, and AIDS, there would not be much point to research at all.","The second tenet goes against the fundamental scientific principle, it's useful on paper, but destructive in practice.",neutral,entailment
The Chairman was out of the country.,The spokesperson had flown out of the country the day before.,neutral,entailment
"He moved on to open his own retail stores, restaurants, sales organizations, a manufacturing company and a public relations firm.",He has never started his own business initiative. ,contradiction,entailment
Nostalgia for Islam's past glory remains a powerful force.,The nostalgia for Islam's past prestige is nonexistent.,contradiction,entailment
"Make-believe play, Vygotsky asserted, helps preschoolers conquer these impulses by granting the child repeated practice  in acting independently of what he sees. ",Children enjoy participating in make-believe plays.,neutral,entailment
As you review the gifts you've made this year I please consider a year-end gift to Herron School of Art.,Gifts can only be given at the end of the year.,contradiction,entailment
"Children can become competent readers and writers without being trained, pushed, or goaded into literacy learning in early childhood.",There is no evidence to suggest children ever enjoy reading or writing. ,contradiction,entailment
Your contribution to Goodwill will mean more than you may know.,You will definitely understand what your contribution to Goodwill will mean. ,contradiction,entailment
"I always had to get up early, milk the cows, and, uh, run, run them, as we say, because it's a, to the pastures, until times got pretty bad, and one day, I sent my daughter to, to the pasture to bring in the cows.",I seldom wake up early as there is much for me to do.,contradiction,entailment
"Uh, let's see.",I can't remember.,neutral,entailment
"In any event, it is hard to discern, from the arch style affected in an attempt to make dull facts interesting, just what is the origin of sow one's wild oats .  In many entries, Claiborne labors the obvious, offering little or nothing we do not already know, could easily imagine, or for which the author offers no explanation.","Claiborne is an author in her mid 50s, with a degree from Princeton University.",neutral,entailment
"I said to him, don't you know, Chepe, what it is?","Chepe didn't know. Chepe also didn't know why his name was Chepe, either.",neutral,entailment
Feminists have much to say about men's claim that women talk too much.,Feminists have not said anything about the claim that women talk too much.,contradiction,entailment
Your continued generosity can help change a desperate mother's life.,Giving generously helps pay our CEOs exorbitant porn bills.,contradiction,entailment
People generally seem to find dialect study interesting.,"No one ever does dialect research,",contradiction,entailment
And then there was never like any female blood Averetts until like my oldest cousin had kids.,There were a bunch of female Averetts from children birthed to all my siblings.  ,contradiction,entailment
"Furthermore, both language progress and an array of emergent-literacy skills can be predicted by the sheer amount of verbal interaction in the home during the first few years of life'a relationship that holds for children of all socioeconomic levels.",Language progress and literacy skills can not be predicted.,contradiction,entailment
Before she died and she crashed on that curve.,We had a lot of good times together before she died.,neutral,entailment
"I think that was kind of hard for him, you know.",I hope that he was able to get over it.,neutral,entailment
No normal speaker of English encountering Man wants but little here below wonders'except facetiously'why women have been ignored.,Those who are not familiar with English never question this.,neutral,entailment
The program could be an important boon to productivity and competitiveness.,The program could definitely not be important to productivity,contradiction,entailment
The items are then stored in a way that makes them easy to pick for an order about to be shipped.,Organizing in a way so that items can be quickly picked for a shipped order maximizes the profits for the company and is the reason for success.,neutral,entailment
"They need real-time information regarding what goods their plants have in finished, work-in-process, and material inventories.",The plants don't need inventory information in real-time.,contradiction,entailment
"When all the individual pieces of the garment have been modified and entered into the computer system, the final garment pattern is ready to be cut and sewn into a sample garment.","Just start sewing it together, because the computer is just a back up option.",contradiction,entailment
"Thanks to the support United Way of Central Indiana receives from people like you, there are hundreds of stories like Cecilia's.","United Way gets support from 340, 000 people.",neutral,entailment
Home in Black Mountain a chile' will smack yo' face;,A chile can be very strong in Mexican food.,neutral,entailment
What happened? ,I know what happened,contradiction,entailment
 Kid  Ory played great jazz trombone.,Kid played pop music.,contradiction,entailment
A local software company has generously donated a complete analysis of our computer hardware and software needs so that the school can offer faculty and students the most up-to-date information technology.,The company also went ahead and donated textbooks. ,neutral,entailment
We have a bomb on board.,We do not have a bomb.,contradiction,entailment
"The NEADS technician who took this call from the FAA immediately passed the word to the mission crew commander, who reported to the NEADS battle  Mission Crew Commander,  Okay, uh, American Airlines is still airborne.",The battle commander tried to devise a strategy to stop the plane.,neutral,entailment
"He argued that other extremists, who aimed at local rulers or Israel, did not go far enough.",Other extremists were scared to push the limit in fear of their well being.,neutral,entailment
"As the children gained perceptual, cognitive, and motor experiences, stimulated intact areas of the cerebral cortex compensated for the early damage.",The cerebral cortex of children with brain damage was stimulated by using therapies that relied on cognitive and motor experiences. So therapy is a huge part of recovery now.,neutral,entailment
The time was 9:38.,The time was after noon.,contradiction,entailment
The FAA manager of the teleconference also remembered that the military participated only briefly before the Pentagon was hit.,The FAA manager could not recall anything of the military's brief participation before the Pentagon was hit.,contradiction,entailment
"The business grew and eventually, he was helping thousands nationwide.",Without his company growing he wouldn't be able to reach as many people. ,neutral,entailment
"Letters in support or condemnation of the QES program (though one may assume they will insist on programme ) should be addressed to Mrs Anne Shelley, Secretary, Queen's English Society, 3 Manor Crescent, Guildford GU2 6NF, England.",The letters about the QES program should be sent to Bob in the United States.,contradiction,entailment
Act today to reserve your FREE CLOCK and become a member of the National Audubon Society.,You don't have to act today to join the National Audubon Society and receive a free clock.,contradiction,entailment
"Yet a tension exists between its desire to provide customers with a changing variety of apparel fashions and the need to increase its capacity to replenish a higher percentage of products, thereby taking advantage of its expertise in logistics.",It is always easy to determine to add new fashion.,contradiction,entailment
"From there that was kind of frustrating me a little bit, going into, um, sessions every day or every night and having 15 people around me smoking fat blunts, drinking forties of Old English, and really not getting a whole lot of stuff done that was, it was, it was just depressing.",I got a lot of work done and had fun.,contradiction,entailment
"Jarrah was in seat 1B, closest to the cockpit; Nami was in 3C, Ghamdi in 3D, and Haznawi in 6B.","Jarraj, Nami, Ghamdi, and Haznawi meticulously arranged this seating.",neutral,entailment
My cousin's.,That does not belong to my cousin.,contradiction,entailment
"Because they were living in a, in an apartment basically.","For that stretch of time, they were homeless.",contradiction,entailment
"The Indianapolis YWCA is an open, supportive organization concerned with women and families; providing opportunities to develop skills, knowledge and resources in the areas of health, self-awareness and leadership.",Women have been coming and using the YWCA for years.,neutral,entailment
"* All times given for this conference call are estimates, which we and the Department of Defense believe to be accurate within a ˨ˠ3 minute margin of error.",The members of the call were very stressed and had trouble remembering the time.,neutral,entailment
I look around well he was right here.,He was never here.,contradiction,entailment
" Forge an adult-child relationship based on shared understanding, or intersubjectivity'one in which the adult strives to  connect  with the child by  stretching down  to his or her point of view, thereby helping the child  stretch up  to the adult's more mature perspective.",A child can't stretch to see how an adult sees things.,contradiction,entailment
How far away?,How many more kilometers to the lodge?,neutral,entailment
"There are also stories of subcontractors, in this country as well as overseas, crumpling a marker up so that when it is laid out again it will be just a little smaller in width and length'a trick to save a fraction of a percent from each piece.",Subcontractors are crumpling up a marker so when it's laid out it is bigger in width and length.,contradiction,entailment
"Denim is from de `from' + Nimes , the town.","Denim is from Dimes and neim, the arabic word for town.",contradiction,entailment
"Azzam, by contrast, favored continuing to fight in Afghanistan until it had a true Islamist government.",Azzam favored fighting in Afghanistan until it was truly Islamist and everyone followed Allah.,neutral,entailment
" It sounds like, we're talking to New York, that there's another one aimed at the World Trade Center.",Controllers were working to try to get the plane to change course.,neutral,entailment
What a contrast from the city she'd left a few miles back.,She didn't leave the city a few miles back.,contradiction,entailment
"Citing the Soviet army's withdrawal from Afghanistan as proof that a ragged army of dedicated Muslims could overcome a superpower, he told the  We are certain that we shall-with the grace of Allah-prevail over the Americans.",The Soviets army continue to fight in the area of Afghanistan.,contradiction,entailment
"Children who failed to grasp the kidnapper's motive and the reason for the arrest judged him to be  good,  not  bad. ",Kids who don't understand why kidnappers are doing what they are doing thought they were bad.,contradiction,entailment
You can help make this valuable program available to many persons who are not currently benefiting from dental care.,Everyone is currently benefitting from dental care from this program.,contradiction,entailment
A picture-restorer is  one who cleans and restores and sometimes ruins old pictures. ,Old pictures are never ruined by picture-restorers.,contradiction,entailment
"In short, while leaders in Washington believed that the fighters above them had been instructed to take out hostile aircraft, the only orders actually conveyed to the pilots were to ID type and tail.","As a result, the hijacked planes were allowed to remain in the air.",neutral,entailment
"Incidentally, I startled them one day with Victor Borge's punctuation system, which instructed and delighted them with its differentiated popping and spitting.","Besides popping and spitting, Victor Borge's punctuation system also has other differences.",neutral,entailment
How can the definers be sure we will know without being told that a man-about-town is never a woman?,How can one be sure a man was not born a woman? It is very deceiving  unless someone would tell you. ,neutral,entailment
"Miyares' repeated trips to sick call basically boiled down to, get your act together and get back in the field, or we'll make you a private again sergeant.",The complete lack of sick visits on Miyares' record meant that he was due a promotion.,contradiction,entailment
"Corporate participation involves an annual unrestricted gift of $2,500 or more for Chancellor's Circle or of $1,000 or more for Chancellors Associates.",There is only one annual giving option for corporate participation. ,contradiction,entailment
The threat of terrorists hijacking commercial airliners within the United States-and using them as guided missiles-was not recognized by NORAD before 9/11.,NORAD recognized the danger of hijacked airplanes as weapons long before 9/11.,contradiction,entailment
"Securely attached infants actively seek contact with and are easily consoled by their familiar, responsive caregiver.",Securely attached infants do not often seek comfort and contact from their caregiver. ,contradiction,entailment
"This lesson was applied, using Tomahawk missiles, early in the Clinton administration.",Tomahawk missiles have never been launched by the U.S. government.,contradiction,entailment
"Moreover, significant increases in state financial support for public higher education are extremely unlikely during the remainder of this decade.",Reductions in state funding has no impact on higher education.,contradiction,entailment
"At 9:21, NEADS received a report from the   Military, Boston Center.",The NEADS did not get any reports from Boston center.,contradiction,entailment
They say we're going up in the mountains to find some snow.,The family vacation will be up in the mountains this year to find some snow.,neutral,entailment
